FIPS,% Smokers,% Obese,% Physically Inactive,% Excessive Drinking,% Unemployed,% Children in Poverty,% Uninsured,PCP Rate,Average Daily PM2.5,% Bachelor or Higher,Age-Adjusted Mortality
20083,12.876749201,32.2,26.2,15.683636518,2.9126213592,7.0,12.019566737,158.47861,7.5,28.4,344.7
20085,15.431584948,34.4,30.1,16.647203588,3.5827915341,12.1,9.7405595051,67.47638,9.2,21.3,342.9
20087,17.161139754,31.3,26.0,16.94746302,4.0551181102,11.7,8.5845516884,52.82620000000001,9.6,21.9,350.0
20089,16.682120101,30.9,26.8,12.895127584,4.6770601336,20.4,11.923990499,,8.4,16.9,268.1
20091,11.990438913,26.6,17.9,20.032029373,3.33713984,5.4,6.0615469196,120.48421,10.2,55.3,218.2
20093,15.797889565,31.4,24.6,15.825694383,3.3045977011,17.2,15.707898659,75.83418,7.4,15.9,379.0
20095,14.603444217,32.1,28.6,16.397030527,4.6788482835,17.5,9.9662731872,13.008980000000001,8.7,24.2,495.2
20097,16.393261219,31.9,26.4,15.632263897,2.8865979381,15.9,10.938310005,39.00156,7.5,27.9,
20099,20.935419385,36.1,33.6,15.942401836,5.6666976831,26.8,10.197250448,72.10498,9.6,17.8,471.3
20101,14.441131994,30.9,28.5,15.640184588,3.3898305085,16.3,13.145539906,59.88024,7.4,21.6,559.9
20103,16.083455525,34.8,25.8,16.83392843,4.4419327494,10.4,6.4965160389,44.12784,10.1,31.7,340.9
20105,16.722461995,33.5,22.0,14.997920433,3.7800687285,16.0,11.129568106,32.20612,8.2,22.6,306.7
20107,17.467400552,33.5,33.9,14.84140364,6.7327645838,21.3,11.549295775,10.48658,9.1,16.0,422.5
20109,14.709369723,32.6,26.5,16.383830241,2.754982415,13.1,11.513012792,106.19469,7.1,17.6,243.3
20111,18.578653502,37.4,24.9,15.874940316,4.1944821882,15.9,13.546501005,59.989799999999995,8.8,27.3,347.7
20113,13.589840687,31.5,25.3,16.054628799,3.2652316673,9.8,8.0538085255,72.56142,9.1,29.0,340.8
20115,14.341429151,33.7,30.5,14.983682149,4.2644628099,13.4,10.797752809,24.787239999999997,8.9,25.1,365.9
20117,15.145570172,32.7,27.2,15.011298365,3.1969994642,13.7,8.8992368387,60.386469999999996,9.1,18.6,342.6
20119,15.010119267,29.8,25.1,15.314087607,2.8559428811,13.9,13.386957771,46.18938,7.4,20.1,370.0
20121,15.697349067,34.7,26.8,16.282769325,4.2896239886,9.4,7.0767756441,39.93488,9.7,27.7,327.7
20123,14.737151299,33.4,25.8,16.167845571,3.5519125683,15.8,8.5884353741,79.59249,8.5,25.3,272.5
20125,18.669280436,37.6,29.7,15.742128556,6.4089649962,22.2,11.824207824,33.019149999999996,9.6,18.2,472.4
20127,14.562283742,39.9,31.8,14.993950004,4.0658276864,15.9,10.21606388,53.14438,8.5,20.1,330.7
20129,14.511958569,30.7,31.8,15.316069352,4.1424418605,17.6,13.773195876,99.76721,6.8,17.1,449.8
20131,13.834788136,32.0,31.6,15.403711049,2.7988534817,10.9,7.7877410638,107.55842,9.2,24.5,270.4
20133,18.880673176,36.0,29.7,15.353775599,7.5311067453,21.9,8.9198606272,55.05934,9.3,20.6,426.4
20135,15.144201192,34.2,29.0,13.944422467,3.816254417,13.9,12.847682119,66.55574,7.5,18.9,351.0
20137,16.347305998,34.0,23.5,16.749216231,2.597852442,16.8,9.6574049096,54.054050000000004,7.4,15.9,338.0
20139,15.483582779,35.7,29.1,16.673303458,4.6221111805,15.1,9.0837901331,6.31034,9.2,18.6,412.0
20141,15.51057781,33.3,28.7,14.595265842,3.6573628489,20.8,12.692026335,54.30356,7.9,23.0,503.2
20143,14.392981575,38.3,28.7,16.748398307,3.9811912226,14.4,9.8439125911,33.4728,8.8,23.5,385.8
20145,15.459525722,31.3,24.8,16.580263752,3.590384015,18.6,9.3811502296,102.36911,7.9,18.8,459.0
20147,16.179654059,29.1,30.5,15.125556135,3.2336578581,16.6,10.207488672,18.422990000000002,7.8,22.3,320.8
20149,15.696000288,29.8,23.9,19.642425953,3.5073475684,9.1,6.4545047064,60.090990000000005,9.2,34.5,319.3
20151,15.15038534,35.0,31.0,16.610109105,4.2989548413,15.1,10.633839707,82.55082,8.1,28.1,405.2
20153,14.306835621,34.2,30.6,14.277131748,2.6350461133,16.1,12.569213732,39.90423,7.0,25.1,364.2
20155,17.140866477,36.0,28.3,14.219638296,4.5570797489,18.0,9.9754718129,59.63778,9.0,20.5,394.0
20157,15.689205778,35.3,33.5,14.405119336,2.8996865204,16.7,10.731991834,84.65607999999999,8.8,24.5,449.2
20159,16.03276552,35.0,29.2,16.770572461,4.153414406,16.6,11.750065496,40.09221,8.5,23.2,454.9
20161,15.338900226,24.5,17.5,23.420750046,3.3266457,12.3,8.7668117089,62.46096,9.1,46.0,230.6
20163,16.058849697,35.3,30.6,14.988884689,5.218039508,13.5,10.224193151,115.96444,7.7,24.0,406.5
20165,15.397650081,33.0,31.7,15.332509199,4.2309891366,17.6,9.7292724196,31.94888,7.8,23.1,458.8
20167,16.085637024,33.1,27.2,15.379156949,4.4981726174,19.6,10.687869822,42.61969,7.9,25.9,340.4
20169,15.847076571,36.4,28.7,16.433951968,3.7801356306,15.3,11.032730141,79.00738,9.0,26.2,362.6
20171,13.386006039,37.2,29.6,16.906342878,2.5703369225,10.8,13.495242864,80.58018,7.4,24.9,248.3
20173,19.105668995,33.6,24.3,16.200164038,4.7864437687,17.8,13.513303394,87.18190999999999,9.9,30.9,392.3
20175,17.240333406,38.2,27.6,14.577793602,4.6050058662,17.7,19.385111687,51.83138,7.5,11.1,328.4
20177,15.990939091,35.0,24.2,14.798407674,4.1264555423,14.1,9.2092092092,72.17793,9.6,30.8,401.9
20179,16.081642014,33.3,27.3,14.395879451,2.5552486188,18.0,14.38961039,,7.3,21.4,357.1
20181,16.230086979,33.7,28.3,15.210385872,3.4552845528,18.9,12.827004219,33.42805,6.9,19.1,388.3
20183,15.910155734,36.8,32.0,14.424375548,3.5380835381,17.2,10.690423163,134.9892,8.0,19.1,427.9
20185,16.585398873,35.6,30.4,13.907002098,4.072831816,19.8,16.35710006,47.21435,8.1,23.9,395.6
